fontName,x,y
Arbutus,1713,112
Signika Negative,1023,460
Homenaje,406,1017
Jacques Francois,600,1043
Rationale,137,257
Dhurjati,1051,934
Tenali Ramakrishna,1858,990
Nunito Sans,678,139
Kalam,715,87
Doppio One,1676,529
Rozha One,824,239
Oxygen,945,214
Martel,35,970
Rammetto One,1319,156
Advent Pro,238,90
Magra,1740,298
Rosarivo,440,552
Ramabhadra,160,116
New Rocker,27,923
Lalezar,615,987
Tulpen One,556,138
Iceberg,2,322
Frijole,1328,74
Asap,1550,125
Days One,542,1022
Quicksand,441,265
Gudea,1881,945
Unlock,1384,668
Alegreya SC,682,93
Lemon,1163,499
Ranga,255,561
Dosis,1851,974
Allerta Stencil,101,996
Gidugu,280,452
Schoolbell,1863,524
Pattaya,1893,677
Cormorant SC,1892,837
Concert One,96,379
Marvel,1810,467
Poller One,1378,760
Short Stack,948,1077
Khand,443,46
Chango,1916,79
UnifrakturMaguntia,1867,129
Asset,1377,86
Abel,737,1053
Russo One,991,201
Romanesco,1107,134
Alegreya Sans,114,141
Trade Winds,481,931
Englebert,1232,293
Flamenco,842,514
Rubik,1897,475
Istok Web,428,314
Almendra Display,287,1000
Heebo,413,19
Geostar Fill,837,37
Hind Siliguri,906,1014
Patua One,1113,704
Varela Round,722,388
Marko One,2,662
Martel Sans,673,335
Passion One,1352,643
Stint Ultra Condensed,653,939
Gorditas,789,625
Hind Vadodara,371,426
Carter One,1135,852
Vampiro One,1040,442
Gafata,1011,746
Molengo,1118,119
Noto Sans,1297,707
Ravi Prakash,692,503
Vesper Libre,9,181
Londrina Solid,1692,458
Diplomata SC,1193,1028
Space Mono,1267,1014
Walter Turncoat,1475,859
Voces,1859,572
Monofett,1904,109
BioRhyme Expanded,1121,4
Cantarell,1800,810
Fredoka One,1733,753
Piedra,476,523
Arima Madurai,1836,1076
Athiti,570,148
Share Tech Mono,495,617
Bonbon,1694,588
Mandali,1441,772
Baloo,1592,957
Exo,876,794
Marcellus SC,162,907
Aldrich,425,775
Faster One,1629,55
Dekko,65,106
Bungee,1553,241
Kanit,454,706
Handlee,1537,840
Itim,976,631
Cagliostro,208,697
Sintony,1688,49
Yantramanav,757,40
Seymour One,1111,226
Quantico,255,417
Palanquin,1372,378
Mukta Vaani,1162,357
Spicy Rice,1135,237
Amatica SC,1789,30
Rancho,617,854
Timmana,1417,881
Varela,1040,1010
Ribeye Marrow,737,374
Oleo Script,52,589
Port Lligat Sans,953,529
Jura,1034,646
NTR,1025,414
Hammersmith One,715,329
Basic,990,742
Sorts Mill Goudy,268,327
Palanquin Dark,1261,884
Bungee Shade,604,600
Muli,1718,1078
Delius,1440,340
Revalia,242,51
GFS Neohellenic,1453,236
Mitr,381,609
Stalinist One,1322,396
Tenor Sans,1817,732
Limelight,932,349
Pirata One,616,422
Sarala,1134,51
Joti One,1832,730
Rhodium Libre,446,843
Share Tech,1452,406
Candal,1544,979
Paytone One,1438,323
Acme,793,839
Keania One,758,62
PT Sans Caption,1268,591
Righteous,825,324
Syncopate,365,665
Wire One,1266,88
Prompt,1798,527
Barrio,1649,1028
Slabo 27px,1421,249
Assistant,1350,1056
Gurajada,882,385
Actor,1404,373
Oswald,1641,432
Purple Purse,1174,73
Supermercado One,1091,172
Annie Use Your Telescope,971,880
Fjalla One,1036,62
Cairo,897,39
Changa One,613,941
Goblin One,1418,744
Caesar Dressing,1824,605
Old Standard TT,1568,916
Gruppo,1565,892
David Libre,418,68
Viga,1127,98
IM Fell Double Pica SC,1420,478
Ek Mukta,526,750
Slabo 13px,183,752
Roboto,1090,744
BenchNine,470,821
Teko,1204,315
Vast Shadow,556,210
Libre Franklin,1837,735
Anton,1806,120
Francois One,1642,727
Quattrocento,1692,303
